fire_idx,Водные объекты,Вечнозелёные хвойные леса,Вечнозелёные широколиственные леса,Листопадные хвойные леса,Листопадные широколиственные леса,Смешанные леса,Закрытые кустарники,Открытые кустарники,Лесистые саванны,Саванны,Луга и пастбища,Постоянные водно-болотные угодья,Пашня,Городские и застроенные территории,Мозаика пашни и естественной растительности,Постоянный снег и лёд,"Малопокрытые территории (песок, скалы, почва)",year
56844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132.48,1191.68,4735.36,1348.48,0.0,0.0,0.0,0.0,0.0,0.0,2001
78210,0.0,0.0,0.0,313.59999999999997,0.0,1379.84,0.0,125.44,6303.36,1285.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
55559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
50132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
53398,0.0,3512.32,0.0,0.0,0.0,1505.28,0.0,0.0,846.72,282.24,125.44,0.0,0.0,0.0,0.0,0.0,0.0,2001
53397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
77259,0.0,2696.96,0.0,0.0,0.0,4453.12,0.0,0.0,2163.8399999999997,31.36,62.72,0.0,0.0,0.0,0.0,0.0,0.0,2001
75011,0.0,2163.8399999999997,0.0,0.0,0.0,3888.64,0.0,0.0,219.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
75907,0.0,7965.4400000000005,0.0,0.0,0.0,1379.84,0.0,0.0,62.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
68653,0.0,3857.2799999999997,0.0,0.0,0.0,1693.44,0.0,0.0,721.2800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
47320,0.0,0.0,0.0,752.64,0.0,0.0,0.0,0.0,2007.04,313.6,62.72,0.0,0.0,0.0,0.0,0.0,0.0,2001
30791,0.0,0.0,0.0,94.08,0.0,0.0,0.0,0.0,1003.52,1003.52,3606.3999999999996,250.88,313.6,0.0,0.0,0.0,0.0,2001
47094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
53273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.72,62.72,627.2,0.0,2383.36,0.0,0.0,0.0,0.0,2001
45358,0.0,0.0,0.0,564.48,0.0,31.36,0.0,0.0,2038.3999999999996,407.68,250.88,0.0,2885.1200000000003,31.36,62.72,0.0,0.0,2001
42472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
45346,0.0,0.0,0.0,156.8,0.0,156.8,0.0,0.0,470.4000000000001,62.72,94.08,0.0,5268.4800000000005,0.0,62.72,0.0,0.0,2001
47110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.88,0.0,0.0,0.0,8624.0,94.08,439.04,0.0,0.0,2001
46555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.48,156.8,846.72,0.0,1568.0,0.0,0.0,0.0,0.0,2001
28216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.8,62.72,533.12,0.0,2383.36,0.0,0.0,0.0,0.0,2001
87540,0.0,62.72,0.0,564.48,0.0,156.8,0.0,0.0,2759.68,0.0,31.36,0.0,2257.92,219.51999999999998,219.52,0.0,0.0,2001
31196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.36,31.36,501.76,0.0,4547.200000000001,1160.32,0.0,0.0,0.0,2001
46313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.2800000000001,31.36,282.24,31.36,2069.76,0.0,0.0,0.0,0.0,2001
53810,0.0,0.0,0.0,62.72,0.0,0.0,0.0,0.0,1317.12,1066.24,439.04,31.36,62.72,0.0,156.8,0.0,0.0,2001
28361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
23872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
47347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.88,0.0,533.12,0.0,2289.2799999999997,0.0,62.72,0.0,0.0,2001
53701,0.0,62.72,0.0,784.0,878.08,188.16000000000003,0.0,0.0,4860.8,1662.0800000000002,0.0,0.0,31.36,0.0,940.8000000000002,0.0,0.0,2001
53755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
67960,0.0,31.36,0.0,282.24,0.0,31.36,0.0,595.84,1912.96,219.52,62.72,0.0,0.0,0.0,0.0,0.0,0.0,2001
89248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
