fire_id,frname,Area,dt_first,dt_last
10398,Иркутская область,1255,2005-03-31 06:05:00,2005-04-06 06:45:00
18069,Иркутская область,1068,2005-04-06 03:40:00,2005-04-11 05:25:00
18091,Иркутская область,1004,2005-04-06 05:20:00,2005-04-15 05:00:00
23872,Иркутская область,662,2005-04-10 04:55:00,2005-04-19 06:15:00
26501,Иркутская область,1916,2005-04-13 05:30:00,2005-04-20 05:20:00
27352,Иркутская область,811,2005-04-14 04:30:00,2005-04-20 05:20:00
27370,Иркутская область,899,2005-04-14 04:30:00,2005-04-19 06:15:00
27509,Иркутская область,742,2005-04-14 06:15:00,2005-04-24 06:35:00
27523,Иркутская область,1173,2005-04-14 06:15:00,2005-04-20 05:20:00
28194,Иркутская область,596,2005-04-15 03:35:00,2005-04-20 05:20:00
28214,Иркутская область,1353,2005-04-15 05:15:00,2005-04-25 05:40:00
28216,Иркутская область,598,2005-04-15 05:15:00,2005-04-20 05:20:00
28361,Иркутская область,809,2005-04-15 07:00:00,2005-04-20 07:00:00
29357,Иркутская область,713,2005-04-16 06:05:00,2005-04-25 05:40:00
30791,Иркутская область,524,2005-04-19 04:55:00,2005-04-24 06:35:00
30933,Иркутская область,817,2005-04-19 06:35:00,2005-04-29 05:15:00
31096,Иркутская область,514,2005-04-20 03:55:00,2005-04-29 06:50:00
31109,Иркутская область,692,2005-04-20 03:55:00,2005-04-30 05:55:00
31110,Иркутская область,509,2005-04-20 03:55:00,2005-04-29 05:15:00
31196,Иркутская область,1038,2005-04-20 05:30:00,2005-04-25 05:40:00
34379,Иркутская область,707,2005-04-24 05:05:00,2005-04-29 06:55:00
34388,Иркутская область,531,2005-04-24 05:05:00,2005-04-29 05:15:00
34419,Иркутская область,732,2005-04-24 05:05:00,2005-04-29 06:50:00
34420,Иркутская область,573,2005-04-24 05:05:00,2005-04-29 05:15:00
34440,Иркутская область,2446,2005-04-24 05:05:00,2005-04-30 05:55:00
34890,Иркутская область,662,2005-04-24 06:50:00,2005-04-29 06:50:00
34896,Иркутская область,1128,2005-04-24 06:50:00,2005-04-29 06:50:00
34982,Иркутская область,578,2005-04-24 06:50:00,2005-04-29 06:50:00
42472,Иркутская область,603,2005-05-02 06:00:00,2005-05-12 04:45:00
44539,Иркутская область,557,2005-05-05 04:50:00,2005-05-13 03:40:00
45346,Иркутская область,1816,2005-05-06 03:55:00,2005-05-13 05:25:00
45358,Иркутская область,1185,2005-05-06 03:55:00,2005-05-17 06:40:00
46099,Иркутская область,679,2005-05-07 04:35:00,2005-05-13 07:05:00
46112,Иркутская область,851,2005-05-07 04:35:00,2005-05-13 05:25:00
46127,Иркутская область,1235,2005-05-07 04:35:00,2005-05-12 06:20:00
46181,Иркутская область,1023,2005-05-07 04:35:00,2005-05-12 06:20:00
46182,Иркутская область,522,2005-05-07 04:35:00,2005-05-13 07:05:00
46186,Иркутская область,820,2005-05-07 04:35:00,2005-05-13 05:20:00
46216,Иркутская область,729,2005-05-07 04:35:00,2005-05-13 07:05:00
46245,Иркутская область,756,2005-05-07 04:35:00,2005-05-12 06:20:00
46250,Иркутская область,1074,2005-05-07 04:35:00,2005-05-13 05:25:00
46312,Иркутская область,3961,2005-05-07 04:35:00,2005-05-14 04:25:00
