year,ndvi_class_0_ha,ndvi_class_10_ha,ndvi_class_11_ha,ndvi_class_12_ha,ndvi_class_1_ha,ndvi_class_2_ha,ndvi_class_3_ha,ndvi_class_4_ha,ndvi_class_5_ha,ndvi_class_6_ha,ndvi_class_7_ha,ndvi_class_8_ha,ndvi_class_9_ha
2000,0.0,253456.17247058856,162840.19129411783,7028.026235294117,229.69094117647057,2.025176470588235,383.1578823529412,1472.3237647058818,7510.609411764701,10497.997058823526,28363.91576470589,62942.217529411806,103867.01611764714
2001,0.63,255812.4702352945,206742.8364705885,1250.2814117647042,356.3890588235294,3.2399999999999998,418.5984705882353,1065.6130588235294,6321.400588235294,8323.701529411765,18566.281058823526,44019.756000000016,102850.46364705886
2002,1.71,249429.0543529415,251688.4807058826,2722.150588235294,76.12694117647058,3.15,298.00376470588236,1100.179411764706,4332.203999999997,7221.925411764702,16620.255882352943,42777.446117647065,87959.79494117653
2003,67.02,251710.99376470622,90758.56552941186,17.322,638.1783529411761,30.667058823529413,3167.9791764705938,12010.887176470604,24581.76388235295,33139.506705882355,45865.35847058826,59942.34105882354,104430.34694117654
2004,23.422588235294118,229838.10564705907,140089.85788235313,395.8108235294118,471.50823529411764,3.577058823529412,501.81105882352944,1217.7585882352946,5806.348941176467,7242.776117647058,15857.767411764708,42785.44764705881,107314.30376470592
2005,17.050235294117645,221487.6289411768,170660.25176470604,679.2836470588234,3915.7655294117653,55.048941176470585,6080.388352941178,7093.365176470589,12238.477411764712,15115.37541176471,23986.062352941182,44644.04894117647,92328.96564705888
2006,9.54,191621.61035294144,149767.58364705896,112.8575294117647,481.82788235294026,2.3117647058823527,619.6697647058824,3284.3590588235293,20260.007294117648,37071.571411764715,52107.90105882353,71059.6775294118,105652.73611764715
2007,7.957411764705881,253959.57141176512,124514.12788235306,103.42129411764705,137.78011764705883,2.4299999999999997,426.61482352941175,1628.8242352941177,12494.612470588241,17109.860117647062,29714.99470588234,73150.96905882355,140513.97388235302
2008,7.669411764705881,73346.35517647066,58897.97082352947,222.99776470588233,14.756117647058822,0.0,82.65670588235292,294.3014117647057,1756.5914117647064,4195.899882352943,10332.990705882357,24277.71247058824,36936.74647058826
2009,5.31,244268.35941176504,127194.55164705902,132.57176470588234,96.57670588235295,0.8999999999999999,331.9450588235294,963.9674117647058,6273.049058823531,10495.09941176471,20876.29764705882,63767.677764705906,151772.74305882363
2010,19.225411764705882,143433.31270588245,120399.04164705901,212.26835294117646,351.32999999999976,0.8099999999999999,319.7075294117647,890.4998823529409,6988.060235294115,7271.067882352943,11823.54811764706,30602.633647058843,67562.3735294118
2011,3.644117647058824,225677.80552941206,112333.37152941192,71.83411764705882,183.52482352941178,4.420588235294118,374.80270588235294,1364.2489411764705,7330.190823529417,13479.589058823523,34136.55670588234,78634.69023529414,145466.85776470596
